Candidate_Location,Distance_From_Job_Location (km),Cost_of_Living_Area,Current_Role,Seniority_Level,Experience_Years,Current_Salary (INR),Expected_Salary (INR),Education_Qualification,Relevant_Skills,Certifications,Notice_Period (Days),Planned_Leaves,Shift_Preference,Service_Bond_Acceptance,Work_Mode_Preference,Current_Company_Name,Current_Company_Industry,Current_Company_Brand_Perception,Job_Hopping_History (Years),Technology_Fit,Offered_Salary (INR),Salary_Difference (INR),Salary_Competitiveness,Offered_Position_Level,Offered_Job_Role,Job_Location,Relocation_Required,Benefits_Package,Career_Growth_Opportunities,Job_Security,Offer_Company_Brand_Value,Offer_Validity_Date,Offer_Letter_Clarity,Expected Joining Score (1-1000)
Kolkata,21,Medium,Consultant,Mid-Level,5,1591627,863937,Diploma,"Java, Spring Boot",None,37,11,Flexible,No,Remote,Infosys,Banking,Negative,0,Low,2156608,267387,Average,Entry-Level,Data Analyst,Mumbai,No,Flexible Hours,Limited,Stable,Low,2024-12-13 14:11:33.008200,Clear,319.88693333333333
Kolkata,9,Medium,Consultant,Entry-Level,13,1506123,1592097,Diploma,"AWS, Docker, Kubernetes",AWS Certified,27,13,Night,No,Remote,Accenture,Consulting,Neutral,9,Moderate,2967228,246502,Above Average,Entry-Level,Data Analyst,Madanapalle,Yes,Flexible Hours,Limited,Strong,Low,2024-12-08 14:11:33.008200,Clear,260.9076
Darbhanga,33,Low,Analyst,Senior-Level,14,712104,587771,Bachelor's Degree,"Java, Spring Boot",AWS Certified,24,12,Flexible,Yes,Hybrid,TCS,Consulting,Negative,5,Low,1149045,206349,Below Average,Lead,Data Analyst,Chennai,No,Health Insurance,Excellent,Stable,Moderate,2024-12-27 14:11:33.008200,Clear,332.30150000000003
Darbhanga,8,Medium,Data Scientist,Entry-Level,5,1916596,637199,Diploma,"Java, Spring Boot",None,9,4,Day,No,Remote,Cognizant,Banking,Positive,7,Moderate,1517330,321776,Above Average,Senior-Level,Data Analyst,Madanapalle,Yes,Flexible Hours,Limited,Strong,High,2024-12-12 14:11:33.008200,Ambiguous,214.57766666666666
Darbhanga,14,Low,Consultant,Entry-Level,14,608449,2209595,Diploma,"Java, Spring Boot",None,59,8,Day,Yes,Hybrid,Cognizant,Healthcare,Positive,0,High,1272109,441247,Average,Mid-Level,Team Lead,Hyderabad,Yes,Flexible Hours,Limited,Weak,Moderate,2025-01-03 14:11:33.008200,Ambiguous,114.40363333333333
Chennai,21,High,Software Engineer,Senior-Level,8,833634,1040473,Master's Degree,"JavaScript, React",None,41,6,Night,No,Offline,HCL,Healthcare,Negative,1,Moderate,787405,30478,Below Average,Senior-Level,Data Analyst,Chennai,Yes,Flexible Hours,Excellent,Stable,High,2025-01-23 14:11:33.008200,Ambiguous,194.24683333333334
Delhi,14,Medium,Consultant,Senior-Level,14,1361339,1983214,Diploma,"Java, Spring Boot",AWS Certified,39,14,Day,No,Remote,Accenture,Banking,Positive,3,High,767482,32551,Average,Entry-Level,Manager,Madanapalle,Yes,Flexible Hours,Moderate,Weak,Low,2025-01-17 14:11:33.008200,Clear,127.58273333333334
Hyderabad,21,Medium,Analyst,Lead,8,490237,1151518,Master's Degree,"JavaScript, React",Google Cloud Certified,76,6,Night,No,Remote,HCL,Retail,Positive,1,Low,964365,58068,Above Average,Mid-Level,Developer,Kolkata,Yes,Health Insurance,Excellent,Weak,High,2025-01-11 14:11:33.008200,Ambiguous,160.1455
Delhi,24,Low,Analyst,Lead,14,1156047,913313,PhD,"AWS, Docker, Kubernetes",None,41,5,Day,No,Offline,Cognizant,Consulting,Negative,8,Moderate,742059,103608,Below Average,Lead,Manager,Chennai,No,Flexible Hours,Excellent,Strong,Moderate,2025-01-07 14:11:33.008200,Ambiguous,376.7353
Madanapalle,28,Medium,Data Scientist,Mid-Level,7,729332,1287516,Diploma,"JavaScript, React",Scrum Master,46,1,Day,Yes,Offline,Cognizant,Consulting,Positive,9,Low,2108175,45561,Above Average,Senior-Level,Developer,Hyderabad,No,Health Insurance,Excellent,Stable,Moderate,2025-01-20 14:11:33.008200,Ambiguous,374.2725
Delhi,9,Medium,Consultant,Senior-Level,7,945275,1472358,Diploma,"AWS, Docker, Kubernetes",None,36,8,Day,No,Remote,Accenture,Banking,Neutral,7,Moderate,1740389,143964,Average,Senior-Level,Manager,Mumbai,Yes,Stock Options,Excellent,Strong,High,2025-01-17 14:11:33.008200,Clear,290.01296666666667
Chennai,38,High,Software Engineer,Lead,12,1565399,2263462,Master's Degree,"AWS, Docker, Kubernetes",PMP,79,5,Night,No,Offline,TCS,Banking,Negative,7,High,2310155,296539,Average,Lead,Developer,Delhi,No,Flexible Hours,Moderate,Weak,Moderate,2025-01-21 14:11:33.008200,Ambiguous,281.0051666666667
Madanapalle,10,Medium,Software Engineer,Mid-Level,11,1439929,2302912,PhD,"JavaScript, React",None,21,7,Night,No,Hybrid,TCS,Retail,Neutral,3,Moderate,2108086,28756,Average,Senior-Level,Developer,Kolkata,No,Flexible Hours,Moderate,Stable,High,2024-12-15 14:11:33.008200,Ambiguous,370.26953333333336
Delhi,6,High,Project Manager,Mid-Level,6,521373,1054224,Bachelor's Degree,"Python, SQL, ML",AWS Certified,56,0,Flexible,Yes,Offline,Accenture,Healthcare,Positive,4,Moderate,1081376,257652,Below Average,Entry-Level,Developer,Kolkata,No,Flexible Hours,Limited,Weak,Low,2024-12-17 14:11:33.008200,Clear,274.04586666666665
Chennai,17,Low,Software Engineer,Mid-Level,6,1706368,2399284,PhD,"C++, Algorithms",None,83,4,Night,Yes,Offline,Accenture,IT Services,Positive,3,High,2115872,490926,Above Average,Lead,Developer,Delhi,No,Health Insurance,Limited,Weak,High,2024-12-29 14:11:33.008200,Ambiguous,286.52906666666667
Hyderabad,47,Medium,Data Scientist,Lead,11,849844,2401676,Master's Degree,"Java, Spring Boot",PMP,26,11,Day,No,Remote,HCL,Healthcare,Negative,8,High,2639260,437867,Above Average,Senior-Level,Team Lead,Pune,No,Flexible Hours,Excellent,Stable,High,2025-01-25 14:11:33.008200,Clear,353.9753333333333
Delhi,47,High,Data Scientist,Senior-Level,9,1145474,2084532,PhD,"C++, Algorithms",Scrum Master,40,0,Day,No,Hybrid,Accenture,Consulting,Positive,1,High,1356740,261227,Average,Lead,Manager,Darbhanga,No,Flexible Hours,Limited,Stable,High,2024-12-17 14:11:33.008200,Ambiguous,241.22466666666668
Chennai,15,Low,Software Engineer,Entry-Level,6,1890963,854418,Master's Degree,"Java, Spring Boot",Google Cloud Certified,79,9,Night,No,Offline,TCS,Banking,Negative,7,Moderate,1593669,338477,Above Average,Mid-Level,Developer,Munger,No,Stock Options,Moderate,Stable,High,2025-01-24 14:11:33.008200,Clear,343.1223
Darbhanga,27,Medium,Software Engineer,Mid-Level,12,671233,1931192,Master's Degree,"Java, Spring Boot",None,33,10,Night,No,Hybrid,Accenture,Retail,Negative,1,Low,2610846,476961,Below Average,Lead,Manager,Bangalore,Yes,Health Insurance,Limited,Strong,Low,2024-12-08 14:11:33.008200,Clear,213.0282
Kolkata,20,Low,Project Manager,Lead,13,1524744,1872542,Bachelor's Degree,"AWS, Docker, Kubernetes",PMP,31,13,Night,No,Hybrid,HCL,Healthcare,Negative,0,Moderate,634456,190378,Average,Senior-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Limited,Strong,Low,2024-12-09 14:11:33.008200,Clear,161.14853333333332
Darbhanga,35,Medium,Software Engineer,Lead,13,968590,678710,Diploma,"Java, Spring Boot",PMP,89,7,Flexible,No,Hybrid,HCL,Retail,Negative,9,Moderate,2709231,162418,Average,Entry-Level,Developer,Darbhanga,Yes,Stock Options,Limited,Weak,Low,2024-12-17 14:11:33.008200,Ambiguous,120.3077
Kolkata,15,Low,Project Manager,Entry-Level,2,1770801,1062550,Master's Degree,"Java, Spring Boot",Scrum Master,88,7,Day,Yes,Remote,HCL,Healthcare,Negative,2,Low,2940384,385705,Average,Lead,Manager,Madanapalle,No,Health Insurance,Excellent,Stable,High,2025-01-25 14:11:33.008200,Ambiguous,428.01279999999997
Munger,20,Low,Project Manager,Entry-Level,2,1550617,962621,Master's Degree,"JavaScript, React",AWS Certified,65,0,Flexible,No,Offline,HCL,Consulting,Neutral,8,High,816460,300168,Below Average,Lead,Team Lead,Darbhanga,No,Flexible Hours,Limited,Weak,Low,2025-01-10 14:11:33.008200,Clear,237.21533333333332
Munger,12,High,Software Engineer,Lead,13,333866,1013859,Bachelor's Degree,"C++, Algorithms",None,11,8,Flexible,No,Remote,Infosys,IT Services,Negative,2,Moderate,1904819,236022,Average,Senior-Level,Manager,Chennai,Yes,Flexible Hours,Moderate,Weak,Moderate,2024-12-21 14:11:33.008200,Clear,169.49396666666667
Munger,8,Low,Analyst,Senior-Level,5,1453976,2490547,Master's Degree,"JavaScript, React",PMP,39,1,Day,No,Offline,Accenture,Retail,Neutral,8,Low,2218249,444034,Average,Entry-Level,Developer,Mumbai,No,Stock Options,Moderate,Weak,Low,2025-01-18 14:11:33.008200,Clear,337.94163333333336
Hyderabad,44,Medium,Analyst,Entry-Level,4,1687695,1998099,Diploma,"Java, Spring Boot",Scrum Master,72,11,Day,No,Offline,Cognizant,Retail,Positive,6,High,2620503,15947,Average,Entry-Level,Data Analyst,Bangalore,No,Health Insurance,Moderate,Weak,High,2024-12-17 14:11:33.008200,Clear,279.3501
Darbhanga,8,Medium,Project Manager,Lead,11,735071,400159,Bachelor's Degree,"AWS, Docker, Kubernetes",Google Cloud Certified,75,8,Night,No,Remote,Accenture,IT Services,Negative,9,High,701129,478369,Average,Mid-Level,Manager,Bangalore,Yes,Health Insurance,Moderate,Weak,Moderate,2025-01-06 14:11:33.008200,Clear,137.37096666666667
Kolkata,29,High,Software Engineer,Entry-Level,2,1692277,1611569,Diploma,"JavaScript, React",PMP,89,0,Night,No,Hybrid,Infosys,Retail,Positive,0,Moderate,1421480,489456,Above Average,Mid-Level,Data Analyst,Madanapalle,Yes,Health Insurance,Limited,Stable,High,2025-01-03 14:11:33.008200,Clear,129.38266666666667
Chennai,7,Medium,Analyst,Senior-Level,3,1486064,767003,Diploma,"JavaScript, React",Scrum Master,72,11,Flexible,Yes,Hybrid,HCL,Retail,Negative,9,High,2367582,137192,Average,Senior-Level,Team Lead,Delhi,Yes,Stock Options,Excellent,Strong,Moderate,2025-01-03 14:11:33.008200,Clear,314.9194
Madanapalle,36,Medium,Software Engineer,Mid-Level,7,896804,1595885,Bachelor's Degree,"Python, SQL, ML",AWS Certified,9,9,Night,Yes,Offline,Infosys,Healthcare,Neutral,4,High,1240268,267591,Below Average,Entry-Level,Manager,Chennai,No,Flexible Hours,Moderate,Stable,High,2025-01-07 14:11:33.008200,Clear,289.34226666666666
Chennai,7,Medium,Software Engineer,Entry-Level,8,486987,1556083,Master's Degree,"Java, Spring Boot",AWS Certified,47,13,Night,Yes,Remote,TCS,Healthcare,Neutral,8,Low,2334722,366382,Average,Entry-Level,Manager,Pune,No,Stock Options,Moderate,Stable,High,2024-12-31 14:11:33.008200,Clear,383.8240666666667
Madanapalle,31,Low,Software Engineer,Senior-Level,12,711274,2374324,Diploma,"AWS, Docker, Kubernetes",PMP,19,13,Day,Yes,Hybrid,TCS,IT Services,Neutral,2,Low,1976634,339572,Average,Mid-Level,Team Lead,Bangalore,No,Flexible Hours,Excellent,Stable,Moderate,2024-12-26 14:11:33.008200,Clear,363.88779999999997
Bangalore,33,Low,Consultant,Lead,13,733934,1463319,Diploma,"JavaScript, React",PMP,38,8,Day,Yes,Hybrid,Accenture,Consulting,Positive,8,High,1229297,432970,Above Average,Mid-Level,Team Lead,Munger,Yes,Stock Options,Excellent,Strong,Low,2025-01-03 14:11:33.008200,Clear,224.97656666666666
Chennai,36,Medium,Software Engineer,Entry-Level,6,594746,1679180,Diploma,"JavaScript, React",None,59,3,Night,Yes,Offline,Accenture,Retail,Negative,4,Low,2550963,335499,Average,Senior-Level,Team Lead,Madanapalle,Yes,Flexible Hours,Moderate,Strong,Moderate,2024-12-31 14:11:33.008200,Clear,223.0321
Delhi,23,High,Consultant,Entry-Level,11,1816450,736907,Diploma,"AWS, Docker, Kubernetes",Scrum Master,65,8,Day,No,Offline,Cognizant,Consulting,Positive,8,High,2763297,461457,Above Average,Entry-Level,Developer,Kolkata,No,Health Insurance,Moderate,Strong,Moderate,2024-12-17 14:11:33.008200,Ambiguous,406.1099
Delhi,25,Low,Project Manager,Lead,5,1819904,2208286,Bachelor's Degree,"Java, Spring Boot",PMP,64,6,Night,No,Remote,Cognizant,IT Services,Neutral,9,Moderate,452635,472176,Below Average,Lead,Developer,Munger,Yes,Health Insurance,Excellent,Stable,Moderate,2024-12-25 14:11:33.008200,Clear,175.08783333333332
Mumbai,9,High,Analyst,Mid-Level,13,1537715,805453,Bachelor's Degree,"Python, SQL, ML",None,50,10,Day,No,Offline,TCS,IT Services,Positive,5,Low,420946,402102,Above Average,Mid-Level,Manager,Hyderabad,Yes,Health Insurance,Moderate,Strong,Moderate,2025-01-03 14:11:33.008200,Ambiguous,206.03153333333333
Darbhanga,22,Medium,Analyst,Lead,1,458588,1071009,PhD,"JavaScript, React",None,35,5,Day,No,Hybrid,HCL,Healthcare,Neutral,8,High,1383638,268492,Average,Senior-Level,Manager,Madanapalle,No,Stock Options,Moderate,Weak,Moderate,2024-12-07 14:11:33.008200,Ambiguous,282.12126666666666
Madanapalle,32,Medium,Analyst,Entry-Level,8,1960833,568785,PhD,"Python, SQL, ML",PMP,23,14,Day,No,Hybrid,Infosys,Retail,Neutral,6,High,1801823,248826,Below Average,Entry-Level,Manager,Madanapalle,Yes,Stock Options,Limited,Strong,High,2024-12-11 14:11:33.008200,Ambiguous,176.06076666666667
Madanapalle,46,Low,Analyst,Lead,3,1554311,579838,Diploma,"C++, Algorithms",AWS Certified,26,4,Day,No,Hybrid,Cognizant,Banking,Neutral,6,Low,2982412,154490,Average,Entry-Level,Data Analyst,Kolkata,Yes,Stock Options,Excellent,Stable,High,2024-12-16 14:11:33.008200,Clear,217.41373333333334
Darbhanga,26,Medium,Analyst,Senior-Level,6,1610875,669160,Master's Degree,"Java, Spring Boot",Scrum Master,1,10,Night,Yes,Hybrid,Cognizant,IT Services,Negative,7,Low,2461892,236494,Above Average,Mid-Level,Team Lead,Chennai,Yes,Health Insurance,Limited,Stable,Low,2025-01-17 14:11:33.008200,Ambiguous,170.06306666666666
Hyderabad,25,Low,Analyst,Lead,3,423950,841904,Diploma,"C++, Algorithms",Scrum Master,30,8,Flexible,No,Remote,HCL,Retail,Negative,6,Moderate,1877310,241391,Below Average,Senior-Level,Manager,Kolkata,No,Flexible Hours,Limited,Weak,Low,2025-01-21 14:11:33.008200,Clear,262.577
Mumbai,10,Medium,Analyst,Entry-Level,7,629638,1276110,Master's Degree,"C++, Algorithms",AWS Certified,56,1,Day,Yes,Remote,HCL,Consulting,Neutral,8,High,496748,491809,Below Average,Lead,Team Lead,Bangalore,No,Health Insurance,Excellent,Strong,Moderate,2025-01-09 14:11:33.008200,Ambiguous,396.55826666666667
Hyderabad,5,Medium,Project Manager,Lead,13,900517,1298488,Diploma,"C++, Algorithms",PMP,77,13,Night,Yes,Offline,Accenture,Healthcare,Positive,8,Moderate,1848598,196256,Above Average,Mid-Level,Developer,Mumbai,Yes,Health Insurance,Limited,Strong,Low,2025-01-11 14:11:33.008200,Clear,231.61993333333334
Hyderabad,9,Low,Software Engineer,Mid-Level,14,1453224,978526,PhD,"Java, Spring Boot",Scrum Master,65,12,Night,No,Offline,Infosys,Consulting,Positive,5,Moderate,1029021,408049,Above Average,Senior-Level,Team Lead,Madanapalle,No,Flexible Hours,Moderate,Weak,Low,2024-12-08 14:11:33.008200,Clear,296.3007
Hyderabad,45,Low,Data Scientist,Lead,7,338547,2061945,PhD,"Java, Spring Boot",PMP,28,10,Day,No,Offline,HCL,IT Services,Negative,6,Moderate,1358395,478646,Below Average,Entry-Level,Data Analyst,Hyderabad,No,Flexible Hours,Limited,Stable,Moderate,2024-12-24 14:11:33.008200,Ambiguous,245.27983333333333
Darbhanga,16,Low,Consultant,Mid-Level,12,853083,1237393,Master's Degree,"AWS, Docker, Kubernetes",PMP,14,13,Flexible,No,Remote,Cognizant,IT Services,Neutral,1,Low,1315767,255318,Below Average,Lead,Data Analyst,Delhi,No,Flexible Hours,Excellent,Stable,High,2024-12-19 14:11:33.008200,Ambiguous,371.8589
Hyderabad,30,Medium,Data Scientist,Senior-Level,9,486368,1340240,Diploma,"Python, SQL, ML",None,11,11,Day,No,Hybrid,Cognizant,Consulting,Positive,8,Moderate,701364,182905,Above Average,Senior-Level,Team Lead,Madanapalle,Yes,Flexible Hours,Moderate,Strong,High,2024-12-11 14:11:33.008200,Clear,173.3788
Delhi,38,Medium,Data Scientist,Mid-Level,5,845735,1214422,Master's Degree,"Python, SQL, ML",AWS Certified,27,1,Night,No,Offline,TCS,IT Services,Neutral,0,Low,1727878,403781,Average,Lead,Data Analyst,Kolkata,No,Health Insurance,Moderate,Strong,Low,2024-12-26 14:11:33.008200,Ambiguous,341.59593333333333
Munger,18,High,Software Engineer,Lead,8,1604766,1511127,PhD,"AWS, Docker, Kubernetes",PMP,83,10,Flexible,No,Hybrid,HCL,Retail,Positive,0,Low,2652412,443396,Below Average,Senior-Level,Data Analyst,Darbhanga,Yes,Stock Options,Moderate,Strong,High,2024-12-08 14:11:33.008200,Clear,262.4137333333333
Bangalore,30,Low,Software Engineer,Entry-Level,10,506402,2424241,Diploma,"AWS, Docker, Kubernetes",Google Cloud Certified,23,11,Night,No,Offline,Accenture,IT Services,Negative,2,Moderate,2818126,28402,Above Average,Senior-Level,Developer,Madanapalle,Yes,Health Insurance,Moderate,Strong,High,2024-12-17 14:11:33.008200,Clear,243.93753333333333
Madanapalle,49,Medium,Software Engineer,Mid-Level,10,1600995,1134983,Diploma,"C++, Algorithms",AWS Certified,20,14,Day,Yes,Offline,Infosys,Healthcare,Neutral,5,Moderate,2509571,183917,Average,Senior-Level,Manager,Madanapalle,No,Flexible Hours,Limited,Strong,Low,2025-01-05 14:11:33.008200,Clear,315.6523666666667
Madanapalle,31,Medium,Analyst,Senior-Level,8,1054105,480811,Master's Degree,"AWS, Docker, Kubernetes",Scrum Master,9,8,Flexible,No,Offline,Accenture,Retail,Neutral,4,High,781856,85851,Below Average,Senior-Level,Data Analyst,Hyderabad,Yes,Stock Options,Limited,Stable,Moderate,2025-01-07 14:11:33.008200,Ambiguous,104.06186666666667
Bangalore,13,Low,Project Manager,Mid-Level,1,1149710,1359131,Bachelor's Degree,"JavaScript, React",None,77,11,Night,No,Offline,Cognizant,Banking,Positive,1,Moderate,2111909,22834,Below Average,Lead,Manager,Hyderabad,No,Stock Options,Moderate,Stable,Low,2025-01-07 14:11:33.008200,Clear,364.3969666666667
Darbhanga,30,High,Analyst,Mid-Level,12,879365,1816842,Master's Degree,"Python, SQL, ML",Scrum Master,17,2,Night,Yes,Offline,Accenture,IT Services,Positive,8,High,1163361,77850,Above Average,Mid-Level,Team Lead,Madanapalle,No,Health Insurance,Excellent,Stable,Low,2025-01-25 14:11:33.008200,Clear,338.7787
Chennai,26,Low,Project Manager,Mid-Level,5,412782,602346,PhD,"AWS, Docker, Kubernetes",Scrum Master,87,7,Night,No,Hybrid,Cognizant,IT Services,Positive,9,Moderate,784793,47180,Average,Lead,Team Lead,Darbhanga,Yes,Health Insurance,Moderate,Stable,Low,2025-01-13 14:11:33.008200,Clear,144.15976666666666
Darbhanga,34,High,Project Manager,Senior-Level,3,1339550,1847585,PhD,"JavaScript, React",AWS Certified,13,10,Day,No,Offline,Cognizant,Healthcare,Neutral,3,Moderate,1448025,407099,Below Average,Senior-Level,Data Analyst,Mumbai,Yes,Health Insurance,Limited,Weak,Moderate,2025-01-03 14:11:33.008200,Clear,80.2675
Madanapalle,47,Medium,Data Scientist,Lead,1,927220,1562126,PhD,"JavaScript, React",Scrum Master,33,14,Flexible,Yes,Hybrid,Cognizant,Healthcare,Negative,3,Moderate,2061127,119688,Average,Lead,Team Lead,Pune,No,Stock Options,Moderate,Stable,Moderate,2024-12-16 14:11:33.008200,Ambiguous,294.7042333333333
Madanapalle,21,High,Data Scientist,Mid-Level,4,1311316,1360652,PhD,"JavaScript, React",PMP,57,8,Day,No,Remote,Cognizant,Consulting,Negative,4,Moderate,459155,216659,Average,Lead,Developer,Darbhanga,No,Stock Options,Limited,Weak,Moderate,2024-12-28 14:11:33.008200,Ambiguous,223.30516666666665
Bangalore,30,Medium,Project Manager,Mid-Level,8,743316,1948485,PhD,"JavaScript, React",Scrum Master,75,7,Day,No,Offline,Cognizant,Consulting,Positive,7,High,1973780,378664,Below Average,Lead,Data Analyst,Darbhanga,No,Stock Options,Moderate,Stable,Moderate,2024-12-23 14:11:33.008200,Ambiguous,325.79266666666666
Hyderabad,40,Low,Project Manager,Entry-Level,3,1720589,1967343,Bachelor's Degree,"C++, Algorithms",None,21,3,Day,No,Hybrid,TCS,Consulting,Negative,9,High,862326,283839,Average,Senior-Level,Data Analyst,Darbhanga,No,Flexible Hours,Excellent,Strong,Low,2024-12-28 14:11:33.008200,Ambiguous,348.7442
Darbhanga,5,Low,Analyst,Senior-Level,10,1659501,1307211,Diploma,"JavaScript, React",None,69,11,Flexible,No,Remote,Accenture,Healthcare,Positive,3,Moderate,2777086,137135,Below Average,Lead,Data Analyst,Mumbai,Yes,Flexible Hours,Moderate,Strong,High,2025-01-18 14:11:33.008200,Clear,292.5695333333333
Kolkata,12,Low,Analyst,Mid-Level,2,1534915,1840434,Master's Degree,"C++, Algorithms",Google Cloud Certified,35,0,Day,No,Remote,TCS,Consulting,Negative,4,Moderate,876377,164195,Average,Entry-Level,Team Lead,Chennai,Yes,Health Insurance,Excellent,Strong,Low,2024-12-25 14:11:33.008200,Clear,255.21256666666667
Bangalore,39,High,Data Scientist,Senior-Level,11,775595,2213924,Master's Degree,"C++, Algorithms",None,44,3,Day,No,Remote,TCS,Consulting,Neutral,3,High,798422,68481,Below Average,Senior-Level,Team Lead,Chennai,Yes,Stock Options,Excellent,Weak,Moderate,2024-12-23 14:11:33.008200,Clear,118.61406666666667
Delhi,19,Medium,Software Engineer,Mid-Level,9,1765744,1686614,PhD,"JavaScript, React",Scrum Master,35,13,Day,Yes,Hybrid,HCL,Banking,Positive,5,Low,521937,83438,Above Average,Lead,Data Analyst,Darbhanga,No,Health Insurance,Moderate,Stable,High,2024-12-30 14:11:33.008200,Clear,299.3979
Madanapalle,26,Low,Project Manager,Lead,10,1447272,1155612,Master's Degree,"Python, SQL, ML",None,21,8,Day,No,Offline,HCL,Consulting,Negative,2,Low,1533629,121491,Below Average,Entry-Level,Manager,Pune,Yes,Stock Options,Excellent,Stable,Low,2025-01-11 14:11:33.008200,Clear,209.12096666666667
Bangalore,18,Low,Analyst,Lead,5,1852226,2476475,PhD,"JavaScript, React",AWS Certified,77,1,Night,No,Offline,HCL,IT Services,Neutral,7,Low,778355,420789,Below Average,Lead,Team Lead,Kolkata,Yes,Health Insurance,Excellent,Weak,High,2025-01-07 14:11:33.008200,Clear,159.94516666666667
Darbhanga,30,Medium,Data Scientist,Mid-Level,14,350939,685622,Bachelor's Degree,"JavaScript, React",None,79,2,Day,Yes,Hybrid,Infosys,Healthcare,Negative,5,High,2291369,131844,Below Average,Mid-Level,Team Lead,Munger,Yes,Flexible Hours,Limited,Weak,Moderate,2025-01-21 14:11:33.008200,Ambiguous,116.37896666666667
Madanapalle,32,Low,Analyst,Lead,7,441521,2362889,Bachelor's Degree,"JavaScript, React",PMP,60,9,Night,Yes,Offline,HCL,Retail,Neutral,9,High,1748416,367054,Average,Lead,Data Analyst,Chennai,Yes,Stock Options,Limited,Weak,High,2025-01-11 14:11:33.008200,Clear,94.28053333333332
Chennai,27,Medium,Project Manager,Mid-Level,11,1923154,2306862,Diploma,"Python, SQL, ML",AWS Certified,55,7,Day,No,Hybrid,Accenture,Banking,Neutral,4,Low,2075259,66494,Above Average,Lead,Manager,Delhi,No,Flexible Hours,Excellent,Weak,High,2025-01-03 14:11:33.008200,Clear,335.1753
Bangalore,18,Medium,Project Manager,Lead,11,1173093,1796436,Bachelor's Degree,"Java, Spring Boot",Google Cloud Certified,88,5,Flexible,Yes,Offline,TCS,Healthcare,Negative,1,Low,1439474,415504,Average,Mid-Level,Data Analyst,Hyderabad,Yes,Stock Options,Moderate,Weak,Moderate,2024-12-20 14:11:33.008200,Clear,141.98246666666665
Mumbai,28,Medium,Consultant,Entry-Level,2,1683674,1067540,Bachelor's Degree,"Java, Spring Boot",PMP,32,7,Night,No,Remote,Accenture,Healthcare,Negative,9,Moderate,2359129,319122,Average,Senior-Level,Team Lead,Mumbai,Yes,Health Insurance,Excellent,Strong,High,2025-01-11 14:11:33.008200,Ambiguous,272.6376333333333
Madanapalle,6,Medium,Software Engineer,Entry-Level,9,1109178,1988236,Diploma,"C++, Algorithms",Scrum Master,44,6,Night,No,Offline,HCL,IT Services,Neutral,9,High,2814697,475636,Below Average,Mid-Level,Data Analyst,Mumbai,Yes,Stock Options,Moderate,Stable,Low,2024-12-12 14:11:33.008200,Clear,251.82323333333335
Darbhanga,49,Medium,Consultant,Entry-Level,13,1940854,1216228,Master's Degree,"C++, Algorithms",Scrum Master,35,13,Night,Yes,Hybrid,Infosys,Consulting,Neutral,6,High,949391,389989,Average,Senior-Level,Data Analyst,Munger,Yes,Flexible Hours,Limited,Weak,High,2024-12-15 14:11:33.008200,Clear,33.646366666666665
Munger,30,High,Data Scientist,Senior-Level,9,883098,1375776,PhD,"Python, SQL, ML",Scrum Master,19,12,Night,No,Hybrid,Infosys,IT Services,Neutral,1,Low,827479,402765,Below Average,Mid-Level,Data Analyst,Chennai,No,Stock Options,Moderate,Strong,Low,2024-12-27 14:11:33.008200,Clear,327.5826333333333
Kolkata,18,Low,Analyst,Senior-Level,4,942650,911511,PhD,"AWS, Docker, Kubernetes",PMP,17,12,Flexible,No,Remote,TCS,Consulting,Positive,0,Low,2230641,217167,Above Average,Lead,Manager,Pune,No,Health Insurance,Excellent,Weak,High,2024-12-18 14:11:33.008200,Ambiguous,358.3547
Pune,11,High,Data Scientist,Entry-Level,4,776513,1669611,Master's Degree,"Java, Spring Boot",PMP,37,4,Day,Yes,Hybrid,Accenture,Consulting,Neutral,6,High,1918413,64672,Average,Lead,Data Analyst,Pune,Yes,Stock Options,Excellent,Strong,High,2025-01-05 14:11:33.008200,Clear,291.9471
Hyderabad,7,Low,Project Manager,Senior-Level,6,1494871,1804355,Diploma,"C++, Algorithms",PMP,66,8,Night,Yes,Offline,Cognizant,Healthcare,Positive,4,Moderate,1760764,71821,Average,Senior-Level,Team Lead,Hyderabad,No,Flexible Hours,Excellent,Weak,Moderate,2025-01-06 14:11:33.008200,Clear,364.69213333333335
Pune,27,High,Consultant,Lead,10,765453,2083886,Master's Degree,"Java, Spring Boot",AWS Certified,22,3,Flexible,Yes,Offline,Accenture,Consulting,Neutral,0,Low,2030594,355805,Average,Senior-Level,Data Analyst,Darbhanga,No,Health Insurance,Excellent,Stable,Moderate,2025-01-15 14:11:33.008200,Ambiguous,373.68646666666666
Darbhanga,47,Medium,Consultant,Mid-Level,10,1021037,1261789,Bachelor's Degree,"Python, SQL, ML",AWS Certified,15,5,Night,Yes,Remote,HCL,Banking,Positive,3,High,2180192,79224,Below Average,Entry-Level,Manager,Kolkata,No,Flexible Hours,Excellent,Weak,Low,2024-12-10 14:11:33.008200,Clear,298.67306666666667
Delhi,49,Low,Consultant,Mid-Level,10,1613379,2175304,Diploma,"Python, SQL, ML",Scrum Master,58,1,Day,No,Hybrid,Cognizant,Banking,Neutral,3,High,2994545,361549,Below Average,Entry-Level,Developer,Chennai,No,Stock Options,Moderate,Weak,Moderate,2025-01-06 14:11:33.008200,Ambiguous,281.8181666666667
